"day_cut","sentiment","year","day","app"
2017-08-29,-0.1,2017,29,"2"
2017-08-30,0.2,2017,30,"2"
2017-08-31,0.28,2017,31,"2"
2017-09-01,0.17,2017,1,"2"
2017-09-02,0.32,2017,2,"2"
2017-09-03,0.24,2017,3,"2"
2017-09-04,0.35,2017,4,"2"
2017-09-05,0.26,2017,5,"2"
2017-09-06,0.42,2017,6,"2"
2017-09-07,-0.01,2017,7,"2"
2017-09-08,0.29,2017,8,"2"
2017-09-09,0.09,2017,9,"2"
2017-09-10,0.22,2017,10,"2"
2017-09-11,0.15,2017,11,"2"
2017-09-12,0.28,2017,12,"2"
2017-09-13,0.59,2017,13,"2"
2017-09-14,0.32,2017,14,"2"
2017-09-15,0.11,2017,15,"2"
2017-09-16,0.51,2017,16,"2"
2017-09-17,-0.29,2017,17,"2"
2017-09-18,0.68,2017,18,"2"
2017-09-19,0.16,2017,19,"2"
2017-09-20,0.34,2017,20,"2"
2017-09-21,0.05,2017,21,"2"
2017-09-22,-0.05,2017,22,"2"
2017-09-23,0.19,2017,23,"2"
2017-09-24,0.15,2017,24,"2"
2017-09-25,0.15,2017,25,"2"
2017-09-26,0.2,2017,26,"2"
2017-09-27,0.09,2017,27,"2"
2017-09-28,0.2,2017,28,"2"
2017-09-29,0.09,2017,29,"2"
2017-09-30,0.11,2017,30,"2"
2017-10-01,0.19,2017,1,"2"
2017-10-02,0.12,2017,2,"2"
2017-10-03,0.29,2017,3,"2"
2017-10-04,0.21,2017,4,"2"
2017-10-05,0.31,2017,5,"2"
2017-10-06,0.05,2017,6,"2"
2017-10-08,0.2,2017,8,"2"
2017-10-09,-0.11,2017,9,"2"
2017-10-10,0.43,2017,10,"2"
2017-10-11,0.28,2017,11,"2"
2017-10-12,-0.02,2017,12,"2"
2017-10-13,0.19,2017,13,"2"
2017-10-14,0.1,2017,14,"2"
2017-10-15,0.31,2017,15,"2"
2017-10-16,0.13,2017,16,"2"
2017-10-17,0.32,2017,17,"2"
2017-10-18,0.17,2017,18,"2"
2017-10-19,0.14,2017,19,"2"
2017-10-20,0.2,2017,20,"2"
2017-10-21,0.39,2017,21,"2"
2017-10-22,0.39,2017,22,"2"
2017-10-23,0.03,2017,23,"2"
2017-10-24,-0.03,2017,24,"2"
2017-10-25,0.19,2017,25,"2"
2017-10-26,0.08,2017,26,"2"
2017-10-27,0.2,2017,27,"2"
2017-10-28,0.15,2017,28,"2"
2017-10-29,0.06,2017,29,"2"
2017-10-30,0.26,2017,30,"2"
2017-10-31,0.08,2017,31,"2"
2017-11-01,0.19,2017,1,"2"
2017-11-02,0.44,2017,2,"2"
2017-11-03,0.17,2017,3,"2"
2017-11-04,0.38,2017,4,"2"
2017-11-05,0.25,2017,5,"2"
2017-11-06,0.42,2017,6,"2"
2017-11-07,0.16,2017,7,"2"
2017-11-08,-0.02,2017,8,"2"
2017-11-09,0.22,2017,9,"2"
2017-11-10,0.08,2017,10,"2"
2017-11-11,0.32,2017,11,"2"
2017-11-12,0,2017,12,"2"
2017-11-13,0.23,2017,13,"2"
2017-11-14,0.25,2017,14,"2"
2017-11-15,0.16,2017,15,"2"
2017-11-16,0.22,2017,16,"2"
2017-11-17,0.44,2017,17,"2"
2017-11-18,-0.15,2017,18,"2"
2017-11-19,0.34,2017,19,"2"
2017-11-20,0.04,2017,20,"2"
2017-11-21,-0.19,2017,21,"2"
2017-11-22,-0.24,2017,22,"2"
2017-11-23,0.25,2017,23,"2"
2017-11-24,0.1,2017,24,"2"
2017-11-25,-0.05,2017,25,"2"
2017-11-26,0.24,2017,26,"2"
2017-11-27,0.1,2017,27,"2"
2017-11-28,-0.06,2017,28,"2"
2017-11-29,0.08,2017,29,"2"
2017-11-30,0.34,2017,30,"2"
2017-12-01,-0.04,2017,1,"2"
2017-12-02,-0.02,2017,2,"2"
2017-12-03,0.42,2017,3,"2"
2017-12-04,-0.02,2017,4,"2"
2017-12-05,0.25,2017,5,"2"
2017-12-06,0.19,2017,6,"2"
2017-12-07,0.18,2017,7,"2"
2017-12-08,0.53,2017,8,"2"
2017-12-09,0.28,2017,9,"2"
2017-12-10,0.34,2017,10,"2"
2017-12-11,0.13,2017,11,"2"
2017-12-12,0.34,2017,12,"2"
2017-12-13,0.36,2017,13,"2"
2017-12-14,0.05,2017,14,"2"
2017-12-15,0.15,2017,15,"2"
2017-12-16,0.13,2017,16,"2"
2017-12-17,-0.19,2017,17,"2"
2017-12-18,0.28,2017,18,"2"
2017-12-19,0.06,2017,19,"2"
2017-12-20,0.33,2017,20,"2"
2017-12-21,0.15,2017,21,"2"
2017-12-22,-0.28,2017,22,"2"
2017-12-23,0.35,2017,23,"2"
2017-12-24,-0.09,2017,24,"2"
2017-12-25,0.05,2017,25,"2"
2017-12-26,0.3,2017,26,"2"
2017-12-27,0.04,2017,27,"2"
2017-12-28,0.37,2017,28,"2"
2017-12-29,0.27,2017,29,"2"
2017-12-30,0.58,2017,30,"2"
2017-12-31,0.17,2017,31,"2"
2018-01-01,0.6,2018,1,"2"
2018-01-02,0.57,2018,2,"2"
2018-01-03,0.1,2018,3,"2"
2018-01-04,0.23,2018,4,"2"
2018-01-05,0.21,2018,5,"2"
2018-01-06,0.61,2018,6,"2"
2018-01-07,-0.01,2018,7,"2"
2018-01-08,0.27,2018,8,"2"
2018-01-09,0.07,2018,9,"2"
2018-01-10,0.1,2018,10,"2"
2018-01-11,-0.04,2018,11,"2"
2018-01-12,0.2,2018,12,"2"
2018-01-13,0.58,2018,13,"2"
2018-01-14,0.25,2018,14,"2"
2018-01-15,0.08,2018,15,"2"
2018-01-16,0.44,2018,16,"2"
2018-01-17,-0.07,2018,17,"2"
2018-01-18,0.56,2018,18,"2"
2018-01-20,0.03,2018,20,"2"
2018-01-21,0.35,2018,21,"2"
2018-01-22,0.15,2018,22,"2"
2018-01-23,0.07,2018,23,"2"
2018-01-24,-0.35,2018,24,"2"
2018-01-25,0.31,2018,25,"2"
2018-01-26,0.16,2018,26,"2"
2018-01-27,0.35,2018,27,"2"
2018-01-28,0.26,2018,28,"2"
2018-01-29,0.37,2018,29,"2"
2018-01-30,0.22,2018,30,"2"
2018-01-31,0.03,2018,31,"2"
2018-02-01,0.66,2018,1,"2"
2018-02-02,0.19,2018,2,"2"
2018-02-03,0.7,2018,3,"2"
2018-02-04,0.4,2018,4,"2"
2018-02-05,-0.1,2018,5,"2"
2018-02-06,0.79,2018,6,"2"
2018-02-07,0.28,2018,7,"2"
2018-02-09,0.28,2018,9,"2"
2018-02-10,0.12,2018,10,"2"
2018-02-11,0.14,2018,11,"2"
2018-02-12,-0.12,2018,12,"2"
2018-02-14,0.08,2018,14,"2"
2018-02-15,0.27,2018,15,"2"
2018-02-16,0.24,2018,16,"2"
2018-02-17,-0.07,2018,17,"2"
2018-02-18,0.11,2018,18,"2"
2018-02-19,-0.03,2018,19,"2"
2018-02-21,0.29,2018,21,"2"
2018-02-22,0.09,2018,22,"2"
2018-02-23,0.19,2018,23,"2"
2018-02-24,0.41,2018,24,"2"
2018-02-25,0.02,2018,25,"2"
2018-02-26,0.26,2018,26,"2"
2018-02-27,0.28,2018,27,"2"
2018-02-28,-0.15,2018,28,"2"
2018-03-01,0.07,2018,1,"2"
2018-03-02,0.16,2018,2,"2"
2018-03-03,0.37,2018,3,"2"
2018-03-04,0.16,2018,4,"2"
2018-03-05,0.04,2018,5,"2"
2018-03-06,0.4,2018,6,"2"
2018-03-07,0.51,2018,7,"2"
2018-03-08,0.26,2018,8,"2"
2018-03-09,0.41,2018,9,"2"
2018-03-10,0.31,2018,10,"2"
2018-03-11,-0.06,2018,11,"2"
2018-03-12,-0.29,2018,12,"2"
2018-03-13,0.1,2018,13,"2"
2018-03-14,-0.04,2018,14,"2"
2018-03-15,0.18,2018,15,"2"
2018-03-16,0.57,2018,16,"2"
2018-03-17,0.01,2018,17,"2"
2018-03-18,0.19,2018,18,"2"
2018-03-19,0.13,2018,19,"2"
2018-03-20,0.02,2018,20,"2"
2018-03-21,-0.53,2018,21,"2"
2018-03-22,0.22,2018,22,"2"
2018-03-23,0.21,2018,23,"2"
2018-03-24,0.04,2018,24,"2"
2018-03-25,0.33,2018,25,"2"
2018-03-26,0.18,2018,26,"2"
2018-03-27,0.28,2018,27,"2"
2018-03-28,0.42,2018,28,"2"
2018-03-29,0.28,2018,29,"2"
2018-03-30,0.27,2018,30,"2"
2018-03-31,0.08,2018,31,"2"
2018-04-01,0.36,2018,1,"2"
2018-04-02,0.12,2018,2,"2"
2018-04-03,0.03,2018,3,"2"
2018-04-04,0.38,2018,4,"2"
2018-04-05,0.39,2018,5,"2"
2018-04-06,0.32,2018,6,"2"
2018-04-07,-0.06,2018,7,"2"
2018-04-08,0.35,2018,8,"2"
2018-04-09,-0.25,2018,9,"2"
2018-04-10,0.32,2018,10,"2"
2018-04-11,0.09,2018,11,"2"
2018-04-12,0.42,2018,12,"2"
2018-04-13,0.03,2018,13,"2"
2018-04-14,0.16,2018,14,"2"
2018-04-15,0.06,2018,15,"2"
2018-04-16,0.08,2018,16,"2"
2018-04-17,0.42,2018,17,"2"
2018-04-18,0.1,2018,18,"2"
2018-04-19,0.18,2018,19,"2"
2018-04-20,0.66,2018,20,"2"
2018-04-21,0.26,2018,21,"2"
2018-04-22,-0.09,2018,22,"2"
2018-04-23,-0.02,2018,23,"2"
2018-04-24,0.17,2018,24,"2"
2018-04-25,0.2,2018,25,"2"
2018-04-26,0.12,2018,26,"2"
2018-04-27,0.08,2018,27,"2"
2018-04-28,0.23,2018,28,"2"
2018-04-29,0.92,2018,29,"2"
2018-04-30,0.05,2018,30,"2"
2018-05-01,0.21,2018,1,"2"
2018-05-02,0.35,2018,2,"2"
2018-05-03,0.35,2018,3,"2"
2018-05-04,0.46,2018,4,"2"
2018-05-06,0.04,2018,6,"2"
2018-05-07,0.02,2018,7,"2"
2018-05-08,-0.16,2018,8,"2"
2018-05-09,-0.11,2018,9,"2"
2018-05-10,0.29,2018,10,"2"
2018-05-11,0.38,2018,11,"2"
2018-05-12,0.38,2018,12,"2"
2018-05-13,-0.07,2018,13,"2"
2018-05-14,0.21,2018,14,"2"
2018-05-15,0.08,2018,15,"2"
2018-05-16,0.15,2018,16,"2"
2018-05-17,0.06,2018,17,"2"
2018-05-18,0.34,2018,18,"2"
2018-05-19,0.03,2018,19,"2"
2018-05-20,-0.03,2018,20,"2"
2018-05-21,0.04,2018,21,"2"
2018-05-22,-0.11,2018,22,"2"
2018-05-23,0.29,2018,23,"2"
2018-05-24,0.27,2018,24,"2"
2018-05-25,0.48,2018,25,"2"
2018-05-27,0.31,2018,27,"2"
2018-05-28,0.42,2018,28,"2"
2018-05-29,0.29,2018,29,"2"
2018-05-30,0.29,2018,30,"2"
2018-05-31,0.33,2018,31,"2"
2018-06-01,0.07,2018,1,"2"
2018-06-02,0.16,2018,2,"2"
2018-06-03,0.15,2018,3,"2"
2018-06-04,0.16,2018,4,"2"
2018-06-05,0.03,2018,5,"2"
2018-06-06,0.19,2018,6,"2"
2018-06-07,0.14,2018,7,"2"
2018-06-08,-0.01,2018,8,"2"
2018-06-09,0.12,2018,9,"2"
2018-06-10,0.2,2018,10,"2"
2018-06-11,0.33,2018,11,"2"
2018-06-12,0.31,2018,12,"2"
2018-06-13,0.5,2018,13,"2"
2018-06-14,0.46,2018,14,"2"
2018-06-15,0.48,2018,15,"2"
2018-06-16,0.18,2018,16,"2"
2018-06-17,0.32,2018,17,"2"
2018-06-18,0.18,2018,18,"2"
2018-06-19,0.1,2018,19,"2"
2018-06-20,0.36,2018,20,"2"
2018-06-21,0.24,2018,21,"2"
2018-06-22,0.12,2018,22,"2"
2018-06-23,0.28,2018,23,"2"
2018-06-24,0.04,2018,24,"2"
2018-06-25,0.18,2018,25,"2"
2018-06-26,0.03,2018,26,"2"
2018-06-27,0.33,2018,27,"2"
2018-06-28,-0.14,2018,28,"2"
2018-06-29,0.41,2018,29,"2"
2018-06-30,0.31,2018,30,"2"
2018-07-01,0.09,2018,1,"2"
2018-07-02,0.04,2018,2,"2"
2018-07-03,-0.02,2018,3,"2"
2018-07-04,-0.01,2018,4,"2"
2018-07-05,0.08,2018,5,"2"
2018-07-06,-0.1,2018,6,"2"
2018-07-07,0.07,2018,7,"2"
2018-07-08,0.2,2018,8,"2"
2018-07-09,0.27,2018,9,"2"
2018-07-10,0.36,2018,10,"2"
2018-07-11,-0.35,2018,11,"2"
2018-07-12,0.41,2018,12,"2"
2018-07-13,0.01,2018,13,"2"
2018-07-14,0.11,2018,14,"2"
2018-07-15,0.34,2018,15,"2"
2018-07-16,-0.04,2018,16,"2"
2018-07-17,0.01,2018,17,"2"
2018-07-18,0.11,2018,18,"2"
2018-07-19,-0.13,2018,19,"2"
2018-07-20,0.16,2018,20,"2"
2018-07-21,0.05,2018,21,"2"
2018-07-23,0.39,2018,23,"2"
2018-07-24,0.15,2018,24,"2"
2018-07-25,-0.02,2018,25,"2"
2018-07-26,0.27,2018,26,"2"
2018-07-27,-0.07,2018,27,"2"
2018-07-28,-0.24,2018,28,"2"
2018-07-29,-0.09,2018,29,"2"
2018-07-30,-0.07,2018,30,"2"
2018-07-31,-0.09,2018,31,"2"
2018-08-01,0.25,2018,1,"2"
2018-08-02,0.19,2018,2,"2"
2018-08-03,-0.03,2018,3,"2"
2018-08-04,0.33,2018,4,"2"
2018-08-05,0.2,2018,5,"2"
2018-08-06,-0.29,2018,6,"2"
2018-08-07,0.22,2018,7,"2"
2018-08-08,0.15,2018,8,"2"
2018-08-09,-0.05,2018,9,"2"
2018-08-10,0.03,2018,10,"2"
2018-08-11,-0.01,2018,11,"2"
2018-08-12,-0.02,2018,12,"2"
2018-08-13,-0.14,2018,13,"2"
2018-08-14,0.06,2018,14,"2"
2018-08-15,0,2018,15,"2"
2018-08-16,0.19,2018,16,"2"
2018-08-17,0.39,2018,17,"2"
2018-08-18,0.13,2018,18,"2"
2018-08-19,0.06,2018,19,"2"
2018-08-20,0.34,2018,20,"2"
2018-08-21,0.21,2018,21,"2"
2018-08-22,0.19,2018,22,"2"
2018-08-23,0.07,2018,23,"2"
2018-08-24,-0.03,2018,24,"2"
2018-08-25,0.1,2018,25,"2"
2018-08-26,0.46,2018,26,"2"
2018-08-27,0.11,2018,27,"2"
2018-08-28,0.21,2018,28,"2"
2018-08-29,0.14,2018,29,"2"
2018-08-30,0.14,2018,30,"2"
2018-08-31,0.17,2018,31,"2"
2018-09-01,0.43,2018,1,"2"
2018-09-02,0.24,2018,2,"2"
2018-09-03,0.4,2018,3,"2"
2018-09-04,0.02,2018,4,"2"
2018-09-05,0.39,2018,5,"2"
2018-09-06,-0.18,2018,6,"2"
2018-09-07,0.13,2018,7,"2"
2018-09-08,0.43,2018,8,"2"
2018-09-09,0.23,2018,9,"2"
2018-09-10,0,2018,10,"2"
2018-09-11,0.11,2018,11,"2"
2018-09-12,0.19,2018,12,"2"
2018-09-13,0.08,2018,13,"2"
2018-09-14,0.32,2018,14,"2"
2018-09-15,0.19,2018,15,"2"
2018-09-16,0.55,2018,16,"2"
2018-09-17,0.35,2018,17,"2"
2018-09-18,-0.03,2018,18,"2"
2018-09-19,0.55,2018,19,"2"
2018-09-20,0.26,2018,20,"2"
2018-09-21,0.38,2018,21,"2"
2018-09-22,0.34,2018,22,"2"
2018-09-23,-0.09,2018,23,"2"
2018-09-24,0.51,2018,24,"2"
2018-09-25,0.48,2018,25,"2"
2018-09-26,0.34,2018,26,"2"
2018-09-27,0.29,2018,27,"2"
2018-09-28,0.25,2018,28,"2"
2018-09-29,-0.17,2018,29,"2"
2018-09-30,0.37,2018,30,"2"
2018-10-01,0.33,2018,1,"2"
2018-10-02,0.43,2018,2,"2"
2018-10-03,0.61,2018,3,"2"
2018-10-05,0.12,2018,5,"2"
2018-10-06,0.12,2018,6,"2"
2018-10-07,0.02,2018,7,"2"
2018-10-08,0.5,2018,8,"2"
2018-10-09,0.08,2018,9,"2"
2018-10-10,0.11,2018,10,"2"
2018-10-11,0.36,2018,11,"2"
2018-10-12,0.22,2018,12,"2"
2018-10-13,0.11,2018,13,"2"
2018-10-14,0.25,2018,14,"2"
2018-10-15,0.2,2018,15,"2"
2018-10-16,0.22,2018,16,"2"
2018-10-17,-0.01,2018,17,"2"
2018-10-18,0.31,2018,18,"2"
2018-10-19,0.12,2018,19,"2"
2018-10-20,0.29,2018,20,"2"
2018-10-21,0.17,2018,21,"2"
2018-10-22,0.35,2018,22,"2"
2018-10-23,-0.19,2018,23,"2"
2018-10-24,0.12,2018,24,"2"
2018-10-25,0.34,2018,25,"2"
2018-10-26,0.15,2018,26,"2"
2018-10-27,0.11,2018,27,"2"
2018-10-28,0.17,2018,28,"2"
2018-10-30,0.03,2018,30,"2"
2018-10-31,0.54,2018,31,"2"
2018-11-01,0.15,2018,1,"2"
2018-11-02,0.27,2018,2,"2"
2018-11-03,0.16,2018,3,"2"
2018-11-04,0.09,2018,4,"2"
2018-11-05,0.19,2018,5,"2"
2018-11-06,0.31,2018,6,"2"
2018-11-07,0.25,2018,7,"2"
2018-11-08,0,2018,8,"2"
2018-11-09,0.2,2018,9,"2"
2018-11-10,0.28,2018,10,"2"
2018-11-11,0.05,2018,11,"2"
2018-11-12,0.11,2018,12,"2"
2018-11-13,0.35,2018,13,"2"
2018-11-14,0.25,2018,14,"2"
2018-11-15,0.16,2018,15,"2"
2018-11-16,0,2018,16,"2"
2018-11-17,0.33,2018,17,"2"
2018-11-18,0.35,2018,18,"2"
2018-11-19,0.32,2018,19,"2"
2018-11-20,-0.02,2018,20,"2"
2018-11-21,-0.14,2018,21,"2"
2018-11-22,0.42,2018,22,"2"
2018-11-23,0.3,2018,23,"2"
2018-11-24,0.13,2018,24,"2"
2018-11-25,0.2,2018,25,"2"
2018-11-26,0.19,2018,26,"2"
2018-11-27,0.03,2018,27,"2"
2018-11-28,0.09,2018,28,"2"
2018-11-29,0.26,2018,29,"2"
2018-11-30,0.28,2018,30,"2"
2018-12-01,-0.11,2018,1,"2"
2018-12-02,0.13,2018,2,"2"
2018-12-03,0.14,2018,3,"2"
2018-12-04,0.33,2018,4,"2"
2018-12-05,0.2,2018,5,"2"
2018-12-06,0.07,2018,6,"2"
2018-12-07,0.27,2018,7,"2"
2018-12-08,0.14,2018,8,"2"
2018-12-09,0.04,2018,9,"2"
2018-12-10,0.92,2018,10,"2"
2018-12-11,0.49,2018,11,"2"
2018-12-12,0.48,2018,12,"2"
2018-12-13,0.35,2018,13,"2"
2018-12-14,0.35,2018,14,"2"
2018-12-15,0.33,2018,15,"2"
2018-12-16,0.53,2018,16,"2"
2018-12-17,0.24,2018,17,"2"
2018-12-18,0.19,2018,18,"2"
2018-12-19,0.19,2018,19,"2"
2018-12-20,0.4,2018,20,"2"
2018-12-21,0.08,2018,21,"2"
2018-12-22,0.1,2018,22,"2"
2018-12-23,0.56,2018,23,"2"
2018-12-24,-0.14,2018,24,"2"
2018-12-25,0.11,2018,25,"2"
2018-12-27,-0.13,2018,27,"2"
2018-12-28,0.36,2018,28,"2"
2018-12-29,0.47,2018,29,"2"
2018-12-30,-0.04,2018,30,"2"
2018-12-31,0.02,2018,31,"2"
2019-01-01,0.19,2019,1,"2"
2019-01-02,0.33,2019,2,"2"
2019-01-03,0.08,2019,3,"2"
2019-01-04,0.04,2019,4,"2"
2019-01-05,-0.08,2019,5,"2"
2019-01-06,0.18,2019,6,"2"
2019-01-07,0.17,2019,7,"2"
2019-01-08,0.22,2019,8,"2"
2019-01-09,0.1,2019,9,"2"
2019-01-10,0.11,2019,10,"2"
2019-01-11,0.14,2019,11,"2"
2019-01-12,0.1,2019,12,"2"
2019-01-13,0.31,2019,13,"2"
2019-01-14,0.34,2019,14,"2"
2019-01-15,0.36,2019,15,"2"
2019-01-16,0.27,2019,16,"2"
2019-01-17,0.1,2019,17,"2"
2019-01-18,0.33,2019,18,"2"
2019-01-19,0.58,2019,19,"2"
2019-01-20,0.32,2019,20,"2"
2019-01-21,0.27,2019,21,"2"
2019-01-22,0.52,2019,22,"2"
2019-01-23,0.32,2019,23,"2"
2019-01-24,-0.01,2019,24,"2"
2019-01-25,0.11,2019,25,"2"
2019-01-26,-0.02,2019,26,"2"
2019-01-27,0.11,2019,27,"2"
2019-01-28,0.08,2019,28,"2"
2019-01-29,0.3,2019,29,"2"
2019-01-30,0.07,2019,30,"2"
2019-01-31,0.49,2019,31,"2"
2019-02-01,-0.05,2019,1,"2"
2019-02-02,-0.02,2019,2,"2"
2019-02-03,0.21,2019,3,"2"
2019-02-04,0.1,2019,4,"2"
2019-02-05,0.29,2019,5,"2"
2019-02-06,0.56,2019,6,"2"
2019-02-07,0.31,2019,7,"2"
2019-02-08,0.23,2019,8,"2"
2019-02-09,0.44,2019,9,"2"
2019-02-10,0.3,2019,10,"2"
2019-02-11,0.17,2019,11,"2"
2019-02-12,0.11,2019,12,"2"
2019-02-13,0.4,2019,13,"2"
2019-02-14,0.46,2019,14,"2"
2019-02-15,0.27,2019,15,"2"
2019-02-16,-0.3,2019,16,"2"
2019-02-17,0.36,2019,17,"2"
2019-02-18,0.29,2019,18,"2"
2019-02-19,0.36,2019,19,"2"
2019-02-20,0.04,2019,20,"2"
2019-02-21,0.22,2019,21,"2"
2019-02-22,0.31,2019,22,"2"
2019-02-23,0.4,2019,23,"2"
2019-02-24,0.61,2019,24,"2"
2019-02-25,0.39,2019,25,"2"
2019-02-26,-0.2,2019,26,"2"
2019-02-27,-0.01,2019,27,"2"
2019-02-28,0.3,2019,28,"2"
2019-03-01,0.27,2019,1,"2"
2019-03-02,0.56,2019,2,"2"
2019-03-03,-0.11,2019,3,"2"
2019-03-04,0.09,2019,4,"2"
2019-03-05,0.21,2019,5,"2"
2019-03-06,0.16,2019,6,"2"
2019-03-07,0.14,2019,7,"2"
2019-03-08,0.21,2019,8,"2"
2019-03-09,0.05,2019,9,"2"
2019-03-10,0.28,2019,10,"2"
2019-03-11,0.1,2019,11,"2"
2019-03-12,0.35,2019,12,"2"
2019-03-13,0.37,2019,13,"2"
2019-03-14,0.2,2019,14,"2"
2019-03-15,0.27,2019,15,"2"
2019-03-16,0.33,2019,16,"2"
2019-03-17,0.39,2019,17,"2"
2019-03-18,0.32,2019,18,"2"
2019-03-19,0.21,2019,19,"2"
2019-03-20,0.3,2019,20,"2"
2019-03-21,0.74,2019,21,"2"
2019-03-22,0.26,2019,22,"2"
2019-03-23,0.36,2019,23,"2"
2019-03-24,0.29,2019,24,"2"
2019-03-25,0.4,2019,25,"2"
2019-03-26,0.34,2019,26,"2"
2019-03-27,0.41,2019,27,"2"
2019-03-28,0.21,2019,28,"2"
2019-03-29,-0.01,2019,29,"2"
2019-03-30,0.25,2019,30,"2"
2019-03-31,0.11,2019,31,"2"
2019-04-01,0.35,2019,1,"2"
2019-04-02,0.35,2019,2,"2"
2019-04-03,0.48,2019,3,"2"
2019-04-04,0.37,2019,4,"2"
2019-04-05,0.41,2019,5,"2"
2019-04-06,0.04,2019,6,"2"
2019-04-07,0.39,2019,7,"2"
2019-04-08,0.32,2019,8,"2"
2019-04-09,0.21,2019,9,"2"
2019-04-10,0.45,2019,10,"2"
2019-04-11,0.28,2019,11,"2"
2019-04-12,0.28,2019,12,"2"
2019-04-13,0.06,2019,13,"2"
2019-04-14,0.52,2019,14,"2"
2019-04-15,0.65,2019,15,"2"
2019-04-16,0.32,2019,16,"2"
2019-04-17,0.26,2019,17,"2"
2019-04-18,0.28,2019,18,"2"
2019-04-19,0.42,2019,19,"2"
2019-04-20,0.23,2019,20,"2"
2019-04-21,0.32,2019,21,"2"
2019-04-22,0.35,2019,22,"2"
2019-04-23,0.45,2019,23,"2"
2019-04-24,0.24,2019,24,"2"
2019-04-25,0.23,2019,25,"2"
2019-04-26,0.48,2019,26,"2"
2019-04-27,0.37,2019,27,"2"
2019-04-28,0.12,2019,28,"2"
2019-04-29,0.01,2019,29,"2"
2019-04-30,0.28,2019,30,"2"
2019-05-01,0.11,2019,1,"2"
2019-05-02,-0.1,2019,2,"2"
2019-05-03,0.15,2019,3,"2"
2019-05-04,0.11,2019,4,"2"
2019-05-05,0.03,2019,5,"2"
2019-05-06,0.18,2019,6,"2"
2019-05-07,0.1,2019,7,"2"
2019-05-08,0.23,2019,8,"2"
2019-05-09,0.15,2019,9,"2"
2019-05-10,0.08,2019,10,"2"
2019-05-11,0.17,2019,11,"2"
2019-05-12,0.17,2019,12,"2"
2019-05-13,0.12,2019,13,"2"
2019-05-14,0.22,2019,14,"2"
2019-05-15,0.12,2019,15,"2"
2019-05-16,0.33,2019,16,"2"
2019-05-17,-0.01,2019,17,"2"
2019-05-18,0.64,2019,18,"2"
2019-05-19,0.2,2019,19,"2"
2019-05-20,0.12,2019,20,"2"
2019-05-21,-0.35,2019,21,"2"
2019-05-22,0.14,2019,22,"2"
2019-05-23,0.29,2019,23,"2"
2019-05-24,0.2,2019,24,"2"
2019-05-25,0.15,2019,25,"2"
2019-05-26,0.14,2019,26,"2"
2019-05-27,0.56,2019,27,"2"
2019-05-28,0.67,2019,28,"2"
2019-05-29,0.2,2019,29,"2"
2019-05-30,0.48,2019,30,"2"
2019-05-31,0.26,2019,31,"2"
2019-06-01,0.1,2019,1,"2"
2019-06-02,-0.03,2019,2,"2"
2019-06-03,0.23,2019,3,"2"
2019-06-04,0.43,2019,4,"2"
2019-06-05,0.43,2019,5,"2"
2019-06-06,0.65,2019,6,"2"
2019-06-07,0.22,2019,7,"2"
2019-06-08,0.22,2019,8,"2"
2019-06-09,0.19,2019,9,"2"
2019-06-10,0.45,2019,10,"2"
2019-06-11,0.22,2019,11,"2"
2019-06-12,-0.04,2019,12,"2"
2019-06-13,0.16,2019,13,"2"
2019-06-14,0.17,2019,14,"2"
2019-06-15,-0.05,2019,15,"2"
2019-06-16,0.15,2019,16,"2"
2019-06-17,0.08,2019,17,"2"
2019-06-18,0.35,2019,18,"2"
2019-06-19,0.16,2019,19,"2"
2019-06-20,-0.1,2019,20,"2"
2019-06-21,0.1,2019,21,"2"
2019-06-22,0.24,2019,22,"2"
2019-06-23,0.13,2019,23,"2"
2019-06-24,0.02,2019,24,"2"
2019-06-25,0.08,2019,25,"2"
2019-06-26,0.22,2019,26,"2"
2019-06-27,0.32,2019,27,"2"
2019-06-28,0.47,2019,28,"2"
2019-06-29,0.07,2019,29,"2"
2019-06-30,0.29,2019,30,"2"
2019-07-01,0.3,2019,1,"2"
2019-07-02,0.17,2019,2,"2"
2019-07-03,0.16,2019,3,"2"
2019-07-04,0.32,2019,4,"2"
2019-07-05,-0.01,2019,5,"2"
2019-07-06,0,2019,6,"2"
2019-07-07,0.43,2019,7,"2"
2019-07-08,0.05,2019,8,"2"
2019-07-09,0.15,2019,9,"2"
2019-07-10,0.77,2019,10,"2"
2019-07-11,0.29,2019,11,"2"
2019-07-12,0.23,2019,12,"2"
2019-07-13,-0.05,2019,13,"2"
2019-07-14,0.33,2019,14,"2"
2019-07-15,0.32,2019,15,"2"
2019-07-16,0.56,2019,16,"2"
2019-07-17,0.25,2019,17,"2"
2019-07-18,0.37,2019,18,"2"
2019-07-19,0.56,2019,19,"2"
2019-07-20,0.45,2019,20,"2"
2019-07-21,-0.07,2019,21,"2"
2019-07-22,0.2,2019,22,"2"
2019-07-23,0.37,2019,23,"2"
2019-07-24,0.54,2019,24,"2"
2019-07-25,0.1,2019,25,"2"
2019-07-26,0.53,2019,26,"2"
2019-07-27,0.01,2019,27,"2"
2019-07-28,0.24,2019,28,"2"
2019-07-29,0.16,2019,29,"2"
2019-07-30,0.35,2019,30,"2"
2019-07-31,0.18,2019,31,"2"
2019-08-01,0.13,2019,1,"2"
2019-08-02,-0.13,2019,2,"2"
2019-08-03,0.16,2019,3,"2"
